"sample", "xs"
"T_t", 56.4
"T_t_v2", 56.4
"T_t_ToLeptons", 18.3864
"Tbar_t", 30.7
"Tbar_t_ToLeptons", 10.0082
"T_s", 3.79
"Tbar_s", 1.76
"T_tW", 11.1
"Tbar_tW", 11.1
"TTJets_MassiveBinDECAY", 252.9
"WJets_inclusive", 37509
"TTJets_SemiLept", 111.06821736     #0.674*0.3258*2
"TTJets_FullLept", 26.844232356     #0.3258**2
"W1Jets_exclusive", 6662.7828947368425
"W2Jets_exclusive", 2159.2351973684213
"W3Jets_exclusive", 640.3674671052631
"W4Jets_exclusive", 264.04361842105266
"W1Jets_exclusive_FSIM", 6662.7828947368425
"W2Jets_exclusive_FSIM", 2159.2351973684213
"W3Jets_exclusive_FSIM", 640.3674671052631
"W4Jets_exclusive_FSIM", 264.04361842105266
"WJets_sherpa", 104592.84641774505
"GJets1", 960.5
"GJets2", 107.5
"DYJets", 3503.71
"WW", 54.838
"WZ", 33.21
"ZZ", 8.059
"QCDMu", 134680
"QCD_Pt_20_30_EMEnriched", 2.91486e6
"QCD_Pt_30_80_EMEnriched", 4.615893e6
"QCD_Pt_80_170_EMEnriched", 183294.9
"QCD_Pt_170_250_EMEnriched", 4586.52
"QCD_Pt_250_350_EMEnriched", 556.75
"QCD_Pt_350_EMEnriched", 89.1
"QCD_Pt_20_30_BCtoE", 167388.0
"QCD_Pt_30_80_BCtoE", 167040.0
"QCD_Pt_80_170_BCtoE", 12981.9
"QCD_Pt_170_250_BCtoE", 631.992
"QCD_Pt_250_350_BCtoE", 103.275
"QCD_Pt_350_BCtoE", 23.9245
"SingleMu", 1.0
"SingleEle", 1.0
"TToBENu_anomWtb-unphys_t-channel", 9.464866666666666
"TToBMuNu_anomWtb-unphys_t-channel", 9.464866666666666
"TToBTauNu_anomWtb-unphys_t-channel", 9.464866666666666
"TToBENu_anomWtb-0100_t-channel", 9.464866666666666
"TToBMuNu_anomWtb-0100_t-channel", 9.464866666666666
"TToBTauNu_anomWtb-0100_t-channel", 9.464866666666666
"TToBENu_anomWtb-0100_t-channel", 9.464866666666666
"TToBMuNu_anomWtb-0100_t-channel", 9.464866666666666
"TToBTauNu_anomWtb-0100_t-channel", 9.464866666666666
"TToBENu_t-channel", 9.464866666666666
"TToBMuNu_t-channel", 9.464866666666666
"TToBTauNu_t-channel", 9.464866666666666
"TToBENu_anomWtb-unphys_LVLT", 9.464866666666666
"TToBENu_anomWtb-Lv1Rt3_LVRT", 9.464866666666666
"TToBENu_anomWtb-Lv2Rt2_LVRT", 9.464866666666666
"TToBENu_anomWtb-Lv3Rt1_LVRT", 9.464866666666666
"TToBENu_anomWtb-Rt4_LVRT", 9.464866666666666
"TToBMuNu_anomWtb-unphys_LVLT", 9.464866666666666
"TToBMuNu_anomWtb-Lv1Rt3_LVRT", 9.464866666666666
"TToBMuNu_anomWtb-Lv2Rt2_LVRT", 9.464866666666666
"TToBMuNu_anomWtb-Lv3Rt1_LVRT", 9.464866666666666
"TToBMuNu_anomWtb-Rt4_LVRT", 9.464866666666666
"TToBTauNu_anomWtb-unphys_LVLT", 9.464866666666666
"TToBTauNu_anomWtb-Lv1Rt3_LVRT", 9.464866666666666
"TToBTauNu_anomWtb-Lv2Rt2_LVRT", 9.464866666666666
"TToBTauNu_anomWtb-Lv3Rt1_LVRT", 9.464866666666666
"TToBTauNu_anomWtb-Rt4_LVRT", 9.464866666666666
"TToBENu_anomWtb-unphys_LVLT_t-channel", 9.464866666666666
"TToBENu_anomWtb-Lv1Rt3_LVRT_t-channel", 9.464866666666666
"TToBENu_anomWtb-Lv2Rt2_LVRT_t-channel", 9.464866666666666
"TToBENu_anomWtb-Lv3Rt1_LVRT_t-channel", 9.464866666666666
"TToBENu_anomWtb-Rt4_LVRT_t-channel", 9.464866666666666
"TToBMuNu_anomWtb-unphys_LVLT_t-channel", 9.464866666666666
"TToBMuNu_anomWtb-Lv1Rt3_LVRT_t-channel", 9.464866666666666
"TToBMuNu_anomWtb-Lv2Rt2_LVRT_t-channel", 9.464866666666666
"TToBMuNu_anomWtb-Lv3Rt1_LVRT_t-channel", 9.464866666666666
"TToBMuNu_anomWtb-Rt4_LVRT_t-channel", 9.464866666666666
"TToBTauNu_anomWtb-unphys_LVLT_t-channel", 9.464866666666666
"TToBTauNu_anomWtb-Lv1Rt3_LVRT_t-channel", 9.464866666666666
"TToBTauNu_anomWtb-Lv2Rt2_LVRT_t-channel", 9.464866666666666
"TToBTauNu_anomWtb-Lv3Rt1_LVRT_t-channel", 9.464866666666666
"TToBTauNu_anomWtb-Rt4_LVRT_t-channel", 9.464866666666666
"TToBENu_anomWtb-0010_LVLT_t-channel", 9.464866666666666
"TToBMuNu_anomWtb-0010_LVLT_t-channel", 9.464866666666666
"TToBTauNu_anomWtb-0010_LVLT_t-channel", 9.464866666666666
"T_t_ToLeptons_mass166_5", 18.3864 
"T_t_ToLeptons_mass169_5", 18.3864 
"Tbar_t_ToLeptons_mass166_5", 10.0082 
"Tbar_t_ToLeptons_mass169_5", 10.0082 
"T_t_ToLeptons_mass175_5", 18.3864 
"T_t_ToLeptons_mass178_5", 18.3864 
"Tbar_t_ToLeptons_mass175_5", 10.0082 
"Tbar_t_ToLeptons_mass178_5", 10.0082 
"T_t_ToLeptons_scaleup", 18.3864 
"Tbar_t_ToLeptons_scaleup", 10.0082 
"T_t_ToLeptons_scaledown", 18.3864 
"T_t_ToLeptons_scaledown_split", 18.3864 
"Tbar_t_ToLeptons_scaledown", 10.0082 
"T_t_mass169_5", 18.3864 
"T_t_mass175_5", 18.3864 
"TTJets_matchingdown", 252.9
"TTJets_matchingup", 252.9
"TTJets_scaledown", 252.9
"TTJets_scaleup", 252.9
"TTJets_mass166_5", 252.9
"TTJets_mass169_5", 252.9
"TTJets_mass175_5", 252.9
"TTJets_mass178_5", 252.9
"TTJets_MSDecays_mass166_5", 252.9
"TTJets_MSDecays_mass169_5", 252.9
"TTJets_MSDecays_mass175_5", 252.9
"TTJets_MSDecays_mass178_5", 252.9
"TTJets_MSDecays_matchingdown", 252.9
"TTJets_MSDecays_matchingdown_v1", 252.9
"TTJets_MSDecays_matchingdown_v2", 252.9
"TTJets_MSDecays_matchingup", 252.9
"TTJets_MSDecays_scaledown", 252.9
"TTJets_MSDecays_scaleup", 252.9
"TTJets_MSDecays", 252.9
"TTJets_MS_mass166_5", 252.9
"TTJets_MS_mass169_5", 252.9
"TTJets_MS_mass175_5", 252.9
"TTJets_MS_mass178_5", 252.9
"TTJets_MS_matchingdown", 252.9
"TTJets_MS_matchingdown_v1", 252.9
"TTJets_MS_matchingdown_v2", 252.9
"TTJets_MS_matchingup", 252.9
"TTJets_MS_scaledown", 252.9
"TTJets_MS_scaleup", 252.9
"TTJets_MS", 252.9
"WJetsToLNu_matchingup", 37509.0
"WJetsToLNu_matchingdown", 37509.0
"WJetsToLNu_scaleup", 37509.0
"WJetsToLNu_scaledown", 37509.0
"W1JetsToLNu", 6662.7828947368425
"W1JetsToLNu2", 6662.7828947368425
"W1JetsToLNu_matchingdown", 6662.7828947368425
"W1JetsToLNu_matchingup", 6662.7828947368425
"W1JetsToLNu_scaleup", 6662.7828947368425
"W1JetsToLNu_scaledown", 6662.7828947368425
"W2JetsToLNu", 2159.2351973684213
"W2JetsToLNu2", 2159.2351973684213
"W2JetsToLNu_matchingdown", 2159.2351973684213
"W2JetsToLNu_matchingup", 2159.2351973684213
"W2JetsToLNu_scaleup", 2159.2351973684213
"W2JetsToLNu_scaledown", 2159.2351973684213
"W3JetsToLNu", 640.3674671052631
"W3JetsToLNu2", 640.3674671052631
"W3JetsToLNu_matchingdown", 640.3674671052631
"W3JetsToLNu_matchingup", 640.3674671052631
"W3JetsToLNu_scaleup", 640.3674671052631
"W3JetsToLNu_scaledown", 640.3674671052631
"W4JetsToLNu", 264.04361842105266
"W4JetsToLNu2", 264.04361842105266
"W4JetsToLNu_matchingdown", 264.04361842105266
"W4JetsToLNu_matchingup", 264.04361842105266
"W4JetsToLNu_scaleup", 264.04361842105266
"W4JetsToLNu_scaledown", 264.04361842105266
"WJets_scaledown", 37509
"WJets_scaleup", 37509
"WJets_matchingdown", 37509
"WJets_matchingup", 37509
"TToLeptons_tchannel_aMCatNLO", 84.69
"TToLeptons_tchannel_aMCatNLO_scaledown", 84.69
"TToLeptons_tchannel_aMCatNLO_scaleup", 84.69
